id,sensor_id,temperature,humidity,pressure,timestamp,pm25,light,uv_level,rain_raw,wind_raw,vibration,location,ingestion_timestamp,batch_id
200,192.168.1.50,22.05,73.6,1023.0,[],103.0,28073,4,0,111,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
291,192.168.1.50,15.08,50.8,1022.0,[],63.0,0,0,0,51,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
335,192.168.1.50,23.06,32.1,1012.0,[],21.0,35704,7,0,69,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
437,192.168.1.50,9.2,89.5,996.0,[],21.0,2733,2,709,367,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
491,192.168.1.50,17.26,31.6,1027.0,[],8.0,7435,8,0,180,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
742,192.168.1.50,5.37,77.9,1019.0,[],23.0,0,0,0,170,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
870,192.168.1.50,5.1,51.7,1020.0,[],57.0,0,0,0,243,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
900,192.168.1.50,4.57,78.4,1016.0,[],130.0,0,0,0,175,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
1005,192.168.1.50,19.65,72.2,1022.0,[],5.0,49724,4,0,54,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
19,10.207.51.79,24.0,39.0,939.0,[],5.0,2463,0,0,0,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
250,192.168.1.50,6.04,77.2,1011.0,[],101.0,0,0,0,257,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
632,192.168.1.50,7.4,93.4,996.0,[],20.0,0,0,345,326,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
735,192.168.1.50,9.82,55.1,1027.0,[],70.0,0,0,0,76,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
873,192.168.1.50,10.27,78.2,1022.0,[],78.0,30767,7,0,8,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
984,192.168.1.50,17.76,55.0,1028.0,[],8.0,27433,6,0,78,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
45,10.207.51.79,24.0,38.0,939.0,[],5.0,2430,0,0,0,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
453,192.168.1.50,13.87,68.9,1027.0,[],44.0,29301,4,0,77,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
473,192.168.1.50,20.93,96.1,998.0,[],16.0,1012,0,539,199,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
904,192.168.1.50,8.33,77.9,1012.0,[],62.0,0,0,0,142,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
191,192.168.1.50,15.32,42.1,1020.0,[],63.0,0,0,0,50,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
707,192.168.1.50,18.87,91.1,1004.0,[],11.0,1140,1,791,185,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
715,192.168.1.50,9.5,31.9,1020.0,[],55.0,0,0,0,27,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
778,192.168.1.50,15.17,63.2,1024.0,[],70.0,5615,11,0,271,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
796,192.168.1.50,5.63,68.4,1012.0,[],74.0,0,0,0,141,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
955,192.168.1.50,17.92,75.7,1011.0,[],47.0,0,0,0,29,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
991,192.168.1.50,15.21,60.3,1027.0,[],23.0,12452,2,0,120,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
248,192.168.1.50,14.53,52.8,1017.0,[],138.0,30014,11,0,51,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
253,192.168.1.50,10.91,79.8,1025.0,[],16.0,0,0,0,238,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
286,192.168.1.50,14.42,77.8,1019.0,[],76.0,0,0,0,47,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
295,192.168.1.50,15.81,48.0,1019.0,[],47.0,0,0,0,299,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
322,192.168.1.50,8.16,86.6,1002.0,[],23.0,2007,2,272,189,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
595,192.168.1.50,12.36,79.0,1013.0,[],50.0,41224,11,0,114,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
787,192.168.1.50,11.01,76.4,1025.0,[],98.0,2480,2,0,80,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
788,192.168.1.50,3.7,90.5,992.0,[],19.0,0,0,520,295,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
20,10.207.51.79,24.0,39.0,939.0,[],5.0,2469,0,0,0,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
712,192.168.1.50,10.62,61.3,1024.0,[],120.0,39506,4,0,121,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
717,192.168.1.50,11.58,72.4,1022.0,[],67.0,0,0,0,162,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
107,192.168.1.50,16.89,73.9,1020.0,[],72.0,46356,9,0,108,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
414,192.168.1.50,12.29,60.6,1027.0,[],116.0,0,0,0,111,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
858,192.168.1.50,7.19,65.0,1017.0,[],21.0,0,0,0,19,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
863,192.168.1.50,13.84,31.1,1023.0,[],48.0,0,0,0,259,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
874,192.168.1.50,13.9,61.3,1023.0,[],142.0,0,0,0,218,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
271,192.168.1.50,12.8,49.6,1019.0,[],124.0,0,0,0,210,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
318,192.168.1.50,20.18,59.6,1023.0,[],60.0,39548,8,0,133,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
678,192.168.1.50,12.82,33.9,1017.0,[],47.0,0,0,0,275,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
723,192.168.1.50,12.56,72.1,1010.0,[],41.0,42616,3,0,28,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
151,192.168.1.50,19.44,30.8,1017.0,[],143.0,54058,4,0,106,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
642,192.168.1.50,4.38,59.7,1024.0,[],65.0,0,0,0,95,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
646,192.168.1.50,10.35,39.4,1011.0,[],121.0,47956,10,0,147,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
828,192.168.1.50,11.84,61.3,1027.0,[],93.0,0,0,0,214,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
844,192.168.1.50,22.08,30.9,1019.0,[],45.0,55742,1,0,52,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
985,192.168.1.50,4.29,92.1,991.0,[],10.0,0,0,561,450,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
273,192.168.1.50,14.85,39.2,1020.0,[],122.0,41163,7,0,186,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
309,192.168.1.50,24.06,50.1,1028.0,[],65.0,30002,9,0,272,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
356,192.168.1.50,7.19,51.0,1020.0,[],77.0,0,0,0,271,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
413,192.168.1.50,5.19,62.6,1022.0,[],146.0,0,0,0,195,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
519,192.168.1.50,23.98,59.6,1014.0,[],130.0,9271,7,0,200,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
520,192.168.1.50,21.09,56.5,1023.0,[],46.0,62231,5,0,125,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
622,192.168.1.50,7.82,42.1,1017.0,[],67.0,0,0,0,210,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
626,192.168.1.50,14.23,56.3,1020.0,[],125.0,0,0,0,40,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
643,192.168.1.50,8.63,40.9,1024.0,[],70.0,0,0,0,101,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
783,192.168.1.50,12.6,59.4,1010.0,[],116.0,7145,9,0,285,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
808,192.168.1.50,7.67,96.8,1004.0,[],26.0,2235,1,601,239,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
181,192.168.1.50,10.06,42.1,1015.0,[],117.0,0,0,0,254,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
209,192.168.1.50,4.51,30.1,1015.0,[],47.0,0,0,0,75,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
232,192.168.1.50,10.89,40.0,1026.0,[],78.0,0,0,0,158,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
449,192.168.1.50,3.15,70.2,1028.0,[],32.0,0,0,0,239,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
739,192.168.1.50,13.9,41.3,1019.0,[],85.0,50960,9,0,96,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
820,192.168.1.50,5.39,73.8,1022.0,[],20.0,0,0,0,266,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
550,192.168.1.50,13.36,66.4,1014.0,[],85.0,27220,1,0,245,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
652,192.168.1.50,22.0,63.7,1030.0,[],30.0,2562,5,0,15,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
726,192.168.1.50,4.21,49.6,1019.0,[],57.0,0,0,0,271,True,Unknown,2025-12-10 18:59:12.609964,batch_20251210_185912
